Rank,Name,Gross Income,Audience Score,Critics Score,Director,Distributor,Release date
222,X-Men: Apocalypse,"$542,537,546",65%,47%,Bryan Singer,20th Century Fox,"May 27, 2016, "
223,Cinderella,"$542,351,353",80%,98%,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","RKO Radio Pictures,, Buena Vista Pictures","Feb 15, 1950, Original"
224,Sherlock Holmes: A Game of Shadows,"$535,663,443",77%,60%,Guy Ritchie,Warner Bros. Pictures,"Dec 16, 2011, "
225,The Revenant,"$532,938,302",N/A,N/A,N/A,N/A,N/A
226,No More Bets (孤注一掷),"$532,726,980",N/A,N/A,N/A,N/A,N/A
227,WALL-E,"$532,508,025",90%,95%,Andrew Stanton,"Pixar Animation Studios,, Walt Disney","Jun 27, 2008, "
228,World War Z,"$531,861,650",72%,67%,Marc Forster,Paramount Pictures,"Jun 21, 2013, "
229,Ralph Breaks The Internet,"$529,290,830",64%,88%,"Phil Johnston, Rich Moore",Walt Disney,"Nov 21, 2018, "
230,Godzilla,"$529,076,069",28%,20%,Roland Emmerich,Columbia Pictures,"May 19, 1998, "
231,Hotel Transylvania 3: Summer Vacation,"$528,500,000",N/A,N/A,N/A,N/A,N/A
232,The Boss Baby,"$527,909,949",51%,53%,Tom McGrath,20th Century Fox,"Mar 31, 2017, "
233,The Meg,"$527,267,828",44%,47%,Jon Turteltaub,Warner Bros. Pictures,"Aug 10, 2018, "
234,The Simpsons Movie,"$527,071,022",,,David Silverman,Warner Bros. Pictures,"Aug 10, 2018, "
235,Mei Ren Yu,"$525,018,479",60%,95%,Stephen Chow,Sony Pictures Entertainment,"Feb 19, 2016, Limited"
236,How to Train Your Dragon: The Hidden …,"$520,691,182",N/A,N/A,N/A,N/A,N/A
237,Kung Fu Panda 3,"$520,189,225",N/A,N/A,N/A,N/A,N/A
238,Ant-Man,"$518,858,449",85%,83%,Peyton Reed,Walt Disney,"Jul 17, 2015, "
239,Ghost,"$517,599,988",50%,,Kim Tae-kyeong,Walt Disney,"Jul 17, 2015, "
240,Meet the Fockers,"$516,567,575",58%,39%,Jay Roach,Universal Pictures,"Dec 22, 2004, "
241,Terminator 2: Judgment Day,"$515,361,524",N/A,N/A,N/A,N/A,N/A
242,Dr. Seuss’ The Grinch,"$514,873,747",N/A,N/A,N/A,N/A,N/A
243,Toy Story 2,"$511,358,276",N/A,N/A,N/A,N/A,N/A
244,Dunkirk,"$509,736,928",73%,60%,Leslie Norman,N/A,N/A
245,Demon Slayer: Kimetsu no Yaiba—The Mo…,"$507,119,058",N/A,N/A,N/A,N/A,N/A
246,Aladdin,"$504,050,219",94%,57%,Guy Ritchie,Walt Disney,"May 24, 2019, "
247,Venom: Let There be Carnage,"$501,546,922",84%,57%,Andy Serkis,Columbia Pictures,"Oct 1, 2021, "
248,Sherlock Holmes,"$498,438,212",,,George Anton,Columbia Pictures,"Oct 1, 2021, "
249,Wreck-It Ralph,"$496,511,521",86%,87%,Rich Moore,Walt Disney,"Nov 2, 2012, "
250,Twister,"$495,700,000",N/A,N/A,N/A,N/A,N/A
251,How to Train Your Dragon,"$494,870,992",91%,99%,"Christopher Sanders, Dean DeBlois","DreamWorks SKG,, Paramount Pictures","Mar 26, 2010, "
252,Clash of the Titans,"$493,214,888",70%,64%,Desmond Davis,"Metro-Goldwyn-Mayer Distributing Corp.,, Warner Home Vídeo,, MGM/UA Home Entertainment Inc.","Jun 12, 1981, "
253,Rio 2,"$492,846,291",N/A,N/A,N/A,N/A,N/A
254,Shrek,"$492,186,434",90%,88%,"Andrew Adamson, Vicky Jenson",DreamWorks SKG,"May 18, 2001, "
255,Angels & Demons,"$490,875,846",N/A,N/A,N/A,N/A,N/A
256,Oz the Great and Powerful,"$490,359,051",56%,57%,Sam Raimi,Walt Disney,"Mar 8, 2013, "
257,War for the Planet of the Apes,"$489,592,267",84%,94%,Matt Reeves,20th Century Fox,"Jul 14, 2017, "
258,Maleficent: Mistress of Evil,"$489,181,357",95%,39%,Joachim Rønning,Walt Disney,"Oct 18, 2019, "
259,Xiāo Shī De Tā (消失的她),"$488,379,038",N/A,N/A,N/A,N/A,N/A
260,Rio,"$487,517,241",71%,72%,Carlos Saldanha,"20th Century Fox,, Blue Sky Animation","Apr 15, 2011, "
261,Mr. and Mrs. Smith,"$486,124,090",N/A,N/A,N/A,N/A,N/A
262,Puss in Boots: The Last Wish,"$485,254,377",94%,95%,Joel Crawford,Universal Pictures,"Dec 21, 2022, "
